,cell_id,expt_date,layer_name,recorder_name,full_path,abf_version,num_sweeps,resp_chan,resp_gain,resp_sampling_rate,rmp_error,rmp_val,stim_amp_vec,stim_chan,stim_duration,stim_end_time,stim_gain,stim_path,stim_sampling_rate,stim_start_time,valid_stim
127,14515349.abf,2014-05-15,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14515349.abf,2.0.0.0,30.0,0.0,1.0,10000.0,0.6347671504955059,-68.2495132442455,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
132,14520332.abf,2014-05-20,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14520332.abf,2.0.0.0,30.0,0.0,1.0,25000.0,0.7324236174782044,-77.9571550627907,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
131,14520300.abf,2014-05-20,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14520300.abf,2.0.0.0,30.0,0.0,1.0,25000.0,1.6786999026408012e-06,-75.1037614443249,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
138,14605374.abf,2014-06-05,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605374.abf,2.0.0.0,30.0,0.0,1.0,25000.0,8.621217703648696,-84.2590350864612,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605374.abf,25000.0,0.0656,True
137,14605349.abf,2014-06-05,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605349.abf,2.0.0.0,30.0,0.0,1.0,25000.0,2.136232294446998,-81.6802996772595,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605349.abf,25000.0,0.0656,True
136,14605338.abf,2014-06-05,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605338.abf,2.0.0.0,30.0,0.0,1.0,25000.0,1.4343279661944166,-80.27649105213192,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605338.abf,25000.0,0.0656,True
135,14605325.abf,2014-06-05,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605325.abf,2.0.0.0,30.0,0.0,1.0,25000.0,2.105714537947293,-73.69995281919729,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605325.abf,25000.0,0.0656,True
134,14605321.abf,2014-06-05,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605321.abf,2.0.0.0,30.0,0.0,1.0,25000.0,1.8463152572395103,-79.66613947598951,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605321.abf,25000.0,0.0656,True
133,14605300.abf,2014-06-05,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605300.abf,2.0.0.0,30.0,0.0,1.0,25000.0,3.5705582449737108,-71.77734535434871,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14605300.abf,25000.0,0.0656,True
140,14617312.abf,2014-06-17,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617312.abf,2.0.0.0,30.0,0.0,1.0,25000.0,2.1362320771914085,-71.96045082719141,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617312.abf,25000.0,0.0656,True
